Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),,92,2022-12-12 23:51:47+00:00
Starboy,Die For You,,91,2022-12-12 22:24:03+00:00
After Hours,Blinding Lights,,93,2022-12-12 22:23:53+00:00
"My Dear Melancholy,",Call Out My Name,,88,2022-12-12 22:23:52+00:00
After Hours,Save Your Tears,,91,2022-12-12 22:23:49+00:00
Ben Hala Rüyada,Ayy / Ben Hala Rüyada,,60,2022-12-10 14:05:38+00:00
HEROES & VILLAINS,Raindrops (Insane) [with Travis Scott],,80,2022-12-06 18:05:17+00:00
HEROES & VILLAINS,All The Money (with Gunna) [Bonus],,70,2022-12-04 00:17:21+00:00
HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),,92,2022-12-03 15:48:22+00:00
HEROES & VILLAINS,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],,82,2022-12-03 10:17:20+00:00
HEROES & VILLAINS,Umbrella (with 21 Savage & Young Nudy),,75,2022-12-02 13:11:07+00:00
HEROES & VILLAINS,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],,71,2022-12-02 12:58:10+00:00
HEROES & VILLAINS,Superhero (Heroes & Villains) [with Future & Chris Brown],,88,2022-12-02 08:53:58+00:00
Scorpion,Blue Tint,,64,2022-11-23 15:07:20+00:00
The Off-Season,a m a r i,,47,2022-11-11 17:07:19+00:00
Nothing Was The Same (Deluxe),Own It,,55,2022-11-11 17:02:20+00:00
Beauty Behind The Madness,Often,,83,2022-11-11 17:01:33+00:00
Neogazino,Ne Zamandır Sendeyim,,66,2022-11-08 22:14:52+00:00
Her Loss,On BS,,79,2022-11-07 18:46:54+00:00
MellowHigh,"Remix (feat. Tyler, The Creator)",,37,2022-11-07 16:37:10+00:00
Scorpion,8 Out Of 10,,63,2022-11-07 15:42:27+00:00
Scorpion,Mob Ties,,71,2022-11-07 15:42:23+00:00
Scorpion,Nice For What,,82,2022-11-07 15:42:11+00:00
Scorpion,God's Plan,,87,2022-11-07 15:42:01+00:00
Dark Lane Demo Tapes,Toosie Slide,Drake,71,2022-11-07 15:41:31+00:00
Her Loss,Rich Flex,Drake,87,2022-11-07 15:01:41+00:00
Her Loss,Privileged Rappers,Drake,77,2022-11-06 19:15:08+00:00
Her Loss,Major Distribution,Drake,75,2022-11-05 15:22:34+00:00
Her Loss,Spin Bout U,Drake,84,2022-11-05 07:46:28+00:00
Her Loss,Broke Boys,Drake,73,2022-11-05 06:39:24+00:00
Her Loss,More M’s,Drake,72,2022-11-04 20:54:00+00:00
DAMN.,PRIDE.,Kendrick Lamar,85,2022-11-03 19:02:40+00:00
Gangsta's Paradise,Gangsta's Paradise,Coolio,88,2022-10-17 12:49:27+00:00
Tabu,Tabu,ARTBAT,45,2022-10-07 20:32:57+00:00
Scorpion,I'm Upset,Drake,70,2022-10-07 14:49:54+00:00
DAMN.,ELEMENT.,Kendrick Lamar,73,2022-10-06 13:51:50+00:00
Motley Crew,Motley Crew,Post Malone,76,2022-10-04 14:42:47+00:00
Sevmiş Gibi,Sevmiş Gibi,Eftalya Yağcı,65,2022-09-25 13:36:19+00:00
Starboy,Starboy,The Weeknd,94,2022-09-10 17:28:46+00:00
An Awesome Wave,Breezeblocks,alt-J,76,2022-09-10 17:28:24+00:00
