Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
Got Your Six,I Apologize,Five Finger Death Punch,57,2020-12-12 16:08:21+00:00
Homicide,Homicide,Logic,61,2020-12-12 16:08:20+00:00
Isis,Isis,Joyner Lucas,59,2020-12-12 16:08:20+00:00
Baby On Baby,Goin Baby,DaBaby,63,2020-12-12 16:08:20+00:00
Dreams Worth More Than Money,R.I.C.O. (feat. Drake),Meek Mill,71,2020-12-12 16:08:19+00:00
Father Of Asahd,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled,58,2020-12-12 16:08:18+00:00
CrasH Talk,Floating (feat. 21 Savage),ScHoolboy Q,59,2020-12-12 16:08:18+00:00
Invasion of Privacy,Bartier Cardi (feat. 21 Savage),Cardi B,65,2020-12-12 16:08:17+00:00
Baby On Baby,Suge,DaBaby,72,2020-12-12 16:08:17+00:00
STOKELEY,Faucet Failure,Ski Mask The Slump God,76,2020-12-12 16:08:16+00:00
So Far Gone,Unstoppable (feat. Santigold & Lil Wayne),Drake,49,2020-12-12 16:08:16+00:00
More Life,KMT,Drake,66,2020-12-12 16:08:15+00:00
Pimpin' Ain't Eazy,Pimpin Ain't Eazy,Kodak Black,58,2020-12-12 16:08:15+00:00
STOKELEY,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,77,2020-12-12 16:08:14+00:00
FATHER OF 4,Legacy (feat. Travis Scott & 21 Savage),Offset,65,2020-12-12 16:08:14+00:00
Wow. (Remix),Wow. - Remix,Post Malone,62,2020-12-12 16:08:13+00:00
Be Like Me (feat. Lil Wayne),Be Like Me (feat. Lil Wayne),Lil Pump,51,2020-12-12 16:08:12+00:00
Have Mercy,Have Mercy,Cordae,60,2020-12-12 16:08:12+00:00
Uncle Drew (Original Motion Picture Soundtrack),Ballin,Various Artists,70,2020-12-12 16:08:11+00:00
Red Opps,Red Opps,21 Savage,65,2020-12-12 16:08:11+00:00
Numb Numb Juice,Numb Numb Juice,ScHoolboy Q,67,2020-12-12 16:08:11+00:00
Blurryface,Doubt,Twenty One Pilots,71,2020-12-12 16:08:10+00:00
Trench,Bandito,Twenty One Pilots,60,2020-12-12 16:08:10+00:00
